id	author_id	base_language	text	posted_time_in_years
11398	567	hin	wow! what a blatant admission that there could be riots in this country before  elections! if so, then modi is weak prime minister who cannot control law &amp; order! also this frees up bjp to play full on ram mandir politics! development gaya bhaad main!	2018
12665	567	hin	this must be most provoking attack by uddhav thackeray on narendra modi, uses reference of chowkidar chor hai in relation to rafale deal scam. from public view, this means end of bjp and shiv sena ties in maharashtra, but politics makes strange bedfellows	2018
13387	567	hin	this is bjp style vulture politics which has been copied from maharashtra to goa. divide the portfolios and do their share of corruption khau bhau milke khau.	2019
13522	567	hin	is this cheapest or lowest point of narendra modi as pm? or should we expect more communal politics as lok sabha elections are near? iss baar janta maaf nahi karegi.	2019
18583	567	hin	bjp is worried about congress more than rahul gandhi. he is cool about it and has said he will not stop anyone from leaving. congress party has split many times in past. sharad pawar to chidambaram. aaya ram, gaya ram politics	2020
2802	567	hin	"suggest name change to ""bail-istan"" instead of hindustan for giving bails to convicts like salman, jaya aur raju!"	2015
3029	567	hin	so  ji is in dock for endorsing maggi but ajay devang, govinda &amp; srk are free to endorse harmful pan masala &amp; gutkha, wow nice!	2015
13436	567	hin	chowkidar bhaag gaya! best wishes for your bollywood career, may you continue with hera pheri and phir hera pheri	2019
13746	567	hin	two rounds of voting shows modi / bjp trailing very badly. need a bit of push from bollywood guys. srk is not late! he has sent video message on the right time to vote out hatred, vote out modi.  chor hai	2019
13765	567	hin	khud pe gyaan dene se accha hota, agar modi ji tamil nadu ke farmers se milte. they waited for months in delhi to seek time of pm to express their pain &amp; problems. modi had all the time for akshay kumar, a bollywood actor	2019
13781	567	hin	rahul gandhi is running a fantastic campaign: chowkidar chor hai and it has caught imagination of the country. everyone has agreed that modi has done something wrong in rafale deal. rahul doesn’t need any bollywood help to prep his campaign. thank you	2019
809	2364	hin	hey ghe vaach ani samjla nasel tar mala sang.actuly politics tula kalat nai ya varun kalal..	2014
13621	2223	hin	a sad but factual testimonial for modigovt by a dying farmer:  “paanch saal mein har kaam band kiya bhajpaa sarkar ne kisan khatm kiya (in five years bjp government has ruined the farmers),” the suicide note read.	2019
14601	3702	hin	kya guaranty hai ki apki government ane pe sab sahi hoga, agar ap promise karte hai to aj apka prachar suru, bolo dam hain 	2019
616	3111	hin	narendra modi govt has made the right moves on business front: larsen &amp; toubro chairman am naik - the economic times	2014
2983	3111	hin	world bank chief jim yong kim hails narendra modi, says world needs 'more leaders like you' -	2015
7588	3111	hin	robin dhowan had superseded sekhar sinha in  by upa government, did anyone question government's decision?	2016
11712	3111	hin	booth capturing was very common in bihar during ballot paper era, and yes lalu prasad's goons used to capture booths in most parts of bihar. the man who we all forgot is k j rao, who taught lalu prasad a lesson.	2018
50	1193	hin	competition in politics is good and has many advantages. bjp/cong try vanish aap. samjho kuch apne baccho ke future ke liye  u-turn	2014
502	2576	hin	necessary step  reduce arms import &amp; associated corruption let us jointly develop arms: narendra modi to chuck hagel	2014
1588	2576	hin	government committed to meet .% fiscal deficit target: cea arvind subramanian	2014
2839	2576	hin	tu cartoon network hi dekh.. ye politics tere bas ki baat nahi...	2015
1666	2576	hin	btw did patriotic aamir khan participate in  salman nominated him more than a month ago.desh ki chinta kahan gayi?	2014
13656	2444	hin	an ode to our beloved  for giving me so much in life that i wouldn't have ever known i could achieve otherwise! thank you, . kya cheer phaad performance hai aapka on…	2019
13655	2444	hin	an ode to our beloved  for giving me so much in life that i wouldn't have ever known i could achieve otherwise! thank you, . kya cheer phaad performance hai aapka on…	2019
11370	3223	hin	नोबेल विजेता अर्थशास्त्री ने कहा- मोदी सरकार शिक्षा, स्वास्थ्य के क्षेत्र में बुरी तरह फेल  via	2018
11369	3223	hin	मोदी के तंज पर कपिल सिब्बल का जवाब, भाजपा को कहा 'लिंच-पुजारी'  via	2018
141	484	hin	“: all schools must promote 'british values', says michael gove  yeh lo	2014
414	626	hin	gvl narsimha rao says central government doesn't run maharashtra sadan. but then, they never ran taj during /.	2014
2303	626	hin	"""hai ram. 'प्रशांत और योगेंद्र ने एक बार अरविंद को इतना टॉर्चर किया था कि वह बीच मीटिंग में ही रोने लगे थे'- अंजलि।"	2015
5445	626	hin	helpless government and i remember - main desh nahin jhukne doonga	2016
6069	626	hin	ncp's majid memon asks what was nda government doing in  yrs. bjp should say we were busy nailing ncp's chagan bhujbal	2016
6174	626	hin	what a shame? pity, outrage will be controlled, friendly government in up. ladke hain, galti ho jaati hai- netaji	2016
7168	626	hin	saleem bhai, ye kya kah diya aapne? democratically elected government is threat to democracy?	2016
7419	626	hin	agreement signed between union government and adb. इंग्लिश में है, मुश्किल होगा, किन्तु कोशिश करें उमुम जी।	2016
7447	626	hin	hike in shagun amount of brides.  one question for aap supporters again- भाई ऐसे आईटम को कैसे सपोर्ट कर लेते हो? new politics	2016
7524	626	hin	politics ties extraordinary women to party line. jaya weeps for nirbhaya, silent on boys will be boys comment	2016
7566	626	hin	congress wants him to resign so they form government with  mps and make sanjay jha home minister	2016
10912	626	hin	मैं प्रधानमंत्री बनूँगा	2018
11344	626	hin	why? india government gives compensation for every hindu death in mauritius, indonesia, nepal, us and elsewhere?	2018
5896	626	hin	watch culinary skills of padma laksmi aka ex srimati salman rushdie on ndtv interviewed by barkha :)	2016
43	41	hin	lyric stuck in my head - jaane kya sochkar nahin guzra	2014
762	41	hin	forgettable   - khoobsurat, bang bang, desi kalakar	2014
2701	41	hin	ore piya re..	2015
3992	1134	hin	babu bhaiya, isme bhi aap purane murde ukhad rahe ho. politics tak theak hai,  me bhi...	2015
